palabra,cant,flag,agrupado
AMBIENTES,295,0,
TIPO,4014,0,
CASA,671,0,
PLANTA,3381,0,
BAJA,473,0,
POR,3420,0,
PASILLO,3264,0,
NUEVO,3122,0,
PATIO,3269,0,
GRANDE,2328,0,
CON,927,0,
LAVADERO,2710,1,LAVADERO
LIVING,2759,0,
COMEDOR,843,0,
COCINA,782,0,
INTEGRADA,2521,0,
ARTEFACTO,410,0,
DE,1257,0,
ALACENA,260,0,
BANO,518,0,
COMPLETO,901,0,
DORMITORIO,1729,0,
TODO,4038,0,
EN,1895,0,
EXCELENTE,2152,0,
ESTADO,2113,0,
PARA,3206,0,
NO,3079,0,
ES,2055,0,
APTO,386,0,
CREDITO,1180,0,
AVISO,454,0,
PUBLICADO,3569,0,
PIXEL,3357,0,
INMOBILIARIO,2488,0,
SERVICIO,3811,0,
PAGINAS,3194,0,
WEB,4323,0,
INMOBILIARIAS,2485,0,
TIPO CASA,4015,0,
PLANTA BAJA,3386,1,PLANTA BAJA
GRANDE CON,2329,0,
CON LAVADERO,999,0,
LIVING COMEDOR,2763,0,
COMEDOR CON,855,0,
CON COCINA,959,0,
COCINA INTEGRADA,811,0,
ARTEFACTO DE,411,0,
DE COCINA,1320,0,
BANO COMPLETO,523,0,
COMPLETO DORMITORIO,907,0,
TODO EN,4041,0,
EN EXCELENTE,1940,0,
EXCELENTE ESTADO,2161,0,
NO ES,3091,0,
ES APTO,2056,0,
APTO CREDITO,387,1,APTO CREDITO
AVISO PUBLICADO,463,0,
PUBLICADO POR,3570,0,
POR PIXEL,3441,0,
PIXEL INMOBILIARIO,3358,0,
INMOBILIARIO SERVICIO,2489,0,
SERVICIO DE,3814,0,
DE PAGINAS,1449,0,
PAGINAS WEB,3195,0,
WEB PARA,4324,0,
PARA INMOBILIARIAS,3217,0,
LIVING COMEDOR CON,2768,0,
COMEDOR CON COCINA,857,0,
CON COCINA INTEGRADA,960,0,
ARTEFACTO DE COCINA,412,0,
BANO COMPLETO DORMITORIO,527,0,
EN EXCELENTE ESTADO,1941,0,
NO ES APTO,3092,0,
ES APTO CREDITO,2057,0,
AVISO PUBLICADO POR,464,0,
PUBLICADO POR PIXEL,3571,0,
POR PIXEL INMOBILIARIO,3442,0,
PIXEL INMOBILIARIO SERVICIO,3359,0,
INMOBILIARIO SERVICIO DE,2490,0,
SERVICIO DE PAGINAS,3815,0,
DE PAGINAS WEB,1450,0,
PAGINAS WEB PARA,3196,0,
WEB PARA INMOBILIARIAS,4325,0,
VENTA,4229,0,
DEPARTAMENTO,1587,0,
PISO,3330,0,
AL,226,0,
FRENTE,2252,0,
ESTRENAR,2141,1,A ESTRENAR
VENTANALES,4253,0,
HACIA,2358,0,
EL,1821,0,
BALCON,493,1,BALCON
PISOS,3346,0,
MADERA,2867,0,
COMPLETA,898,0,
DOBLE,1713,0,
MESADA,2955,0,
MUEBLES,3026,0,
BAJO,483,0,
SEPARADO,3799,0,
TOILETTE,4049,1,TOILETTE
PLACARD,3361,0,
SEGUNDO,3779,0,
CALEFACCION,610,0,
CORRIDO,1165,0,
POSIBILIDAD,3468,0,
COCHERA,763,1,COCHERA
SEMICUBIERTA,3792,0,
20,45,0,
0,1,0,
VENTA DE,4234,0,
DE DEPARTAMENTO,1337,0,
DEPARTAMENTO EN,1608,0,
PISO AL,3331,0,
AL FRENTE,242,0,
CON VENTANALES,1072,0,
HACIA EL,2359,0,
BALCON CON,500,0,
CON PISOS,1024,0,
PISOS DE,3349,0,
DE MADERA,1432,0,
COCINA COMPLETA,795,0,
COMPLETA CON,899,0,
CON DOBLE,970,0,
MUEBLES BAJO,3027,0,
BAJO MESADA,484,0,
LAVADERO SEPARADO,2720,0,
DORMITORIO CON,1735,0,
CON PLACARD,1028,0,
SEGUNDO DORMITORIO,3780,0,
CALEFACCION POR,613,0,
COMPLETO BALCON,902,0,
BALCON CORRIDO,502,0,
POSIBILIDAD DE,3469,0,
DE COCHERA,1318,0,
COCHERA SEMICUBIERTA,774,1,COCHERA
VENTA DE DEPARTAMENTO,4236,0,
PISO AL FRENTE,3332,0,
CON PISOS DE,1026,0,
PISOS DE MADERA,3351,1,PISOS DE MADERA
COCINA COMPLETA CON,796,0,
MUEBLES BAJO MESADA,3028,1,MUEBLES BAJO MESADA
DORMITORIO CON PLACARD,1737,0,
3ER,108,0,
LATERAL,2707,0,
AMPLIO,331,0,
SEPARADA,3797,0,
BAJAS,481,0,
EXPENSAS,2180,0,
UBICACION,4106,0,
COMEDOR AMPLIO,844,0,
AMPLIO COCINA,334,0,
COCINA SEPARADA,819,0,
SEPARADA CON,3798,0,
LAVADERO BANO,2711,0,
BAJAS EXPENSAS,482,1,BAJAS EXPENSAS
EXCELENTE UBICACION,2164,1,EXCELENTE UBICACION
LIVING COMEDOR AMPLIO,2764,0,
COCINA SEPARADA CON,820,0,
COMPLETO DORMITORIO CON,908,0,
PH,3307,1,PH
HAY,2370,0,
